Date,Days_0
2016-09-15,0.019765494137353512
2012-08-14,0.0017593244194229476
2002-01-08,-0.013778705636743105
2017-10-30,-0.008955927409851627
2015-08-18,0.002776920703486674
2002-01-14,-0.014103129131776138
2015-02-06,0.0
2006-07-19,0.02149775572879764
2003-08-11,0.008751902587519124
2018-06-28,0.00772573635924667
2002-03-18,0.006249999999999867
2007-01-18,0.008053691275167862
2017-04-05,0.004428697962799211
2004-03-23,0.014751075599262588
2004-11-19,-0.0064867669953295745
2019-04-10,-0.00226244343891413
2006-06-22,0.0002371916508541183
2017-03-06,-0.005832604257800965
2010-01-11,0.000587544065804968
2009-08-20,0.0013042060645582776
2018-02-14,0.029378784480825093
2017-09-29,0.0038058991436726868
2009-05-12,-0.005758946935417453
2014-03-19,-0.011873732985809515
